Basal.ID,Basal.Site.Comm.Id,Basal.Site,Basal.Community,Basal.Plot.ID,Basal.Species,Basal.Diameter,Basal.Height,Basal.Live.Dead,Basal.Damage
1,1,Gull.Rock,Forest,2,ACRU,14.5,10,L,NA
1,1,Gull.Rock,Forest,2,ACRU,8.4,8,L,NA
1,1,Gull.Rock,Forest,2,MYCE,4.2,7,L,NA
1,1,Gull.Rock,Forest,2,MAVI,4.3,8,L,NA
1,1,Gull.Rock,Forest,2,PEPA,5.2,6,L,NA
1,1,Gull.Rock,Forest,2,PEPA,4.6,4,L,NA
1,1,Gull.Rock,Forest,2,PEPA,4.1,4,L,NA
1,1,Gull.Rock,Forest,2,UNK,5.8,NA,D,NA
1,1,Gull.Rock,Forest,2,UNK,7.4,NA,D,NA
1,1,Gull.Rock,Forest,2,MAVI,4,5,L,NA
1,1,Gull.Rock,Forest,2,PITA,13.5,NA,D,NA
1,1,Gull.Rock,Forest,2,PITA,31.5,NA,D,NA
1,1,Gull.Rock,Forest,2,UNK,3.9,NA,D,NA
1,1,Gull.Rock,Forest,2,UNK,5.3,NA,D,NA
1,1,Gull.Rock,Forest,2,UNK,4.3,NA,D,NA
1,1,Gull.Rock,Forest,2,UNK,7.9,NA,D,NA
1,1,Gull.Rock,Forest,2,PITA,28.4,13,L,NA
1,1,Gull.Rock,Forest,2,UNK,6,NA,D,NA
1,1,Gull.Rock,Forest,2,ACRU,3.5,NA,D,NA
1,1,Gull.Rock,Forest,2,UNK,5,NA,D,NA
1,1,Gull.Rock,Forest,2,NYBI,9.2,13,L,NA
1,1,Gull.Rock,Forest,2,PEPA,6.6,7,L,NA
1,1,Gull.Rock,Forest,2,PITA,22.5,NA,D,NA
1,1,Gull.Rock,Forest,2,UNK,12.2,NA,D,NA
1,1,Gull.Rock,Forest,2,UNK,9,NA,D,NA
1,1,Gull.Rock,Forest,2,ACRU,10.3,11,L,NA
1,1,Gull.Rock,Forest,2,PEPA,16,15,L,NA
1,1,Gull.Rock,Forest,2,ACRU,6.1,5,L,NA
1,1,Gull.Rock,Forest,2,ACRU,10.1,6,L,NA
1,1,Gull.Rock,Forest,2,ACRU,9.5,11,L,NA
1,1,Gull.Rock,Forest,2,PITA,16,17,L,NA
1,1,Gull.Rock,Forest,2,PITA,24,17,L,NA
1,1,Gull.Rock,Forest,2,MAVI,5,10,L,NA
1,1,Gull.Rock,Forest,2,PEPA,3.7,4,L,NA
1,1,Gull.Rock,Forest,2,UNK,5.6,NA,D,NA
1,1,Gull.Rock,Forest,2,NYBI,4,9,L,NA
1,1,Gull.Rock,Forest,2,PEPA,7,6,L,NA
1,1,Gull.Rock,Forest,2,UNK,4.4,NA,D,NA
1,1,Gull.Rock,Forest,2,PITA,23.5,NA,D,NA
1,1,Gull.Rock,Forest,2,UNK,6.2,NA,D,NA
1,1,Gull.Rock,Forest,2,UNK,6.2,NA,D,NA
1,1,Gull.Rock,Forest,2,UNK,11.1,NA,D,NA
1,1,Gull.Rock,Forest,2,PEPA,5.5,6,L,NA
1,1,Gull.Rock,Forest,2,PITA,35.8,18,L,NA
1,1,Gull.Rock,Forest,2,UNK,4.5,NA,D,NA
2,1,Gull.Rock,Forest,4,MYCE,3.5,4,L,NA
2,1,Gull.Rock,Forest,4,PITA,8.1,7,L,NA
2,1,Gull.Rock,Forest,4,MYCE,3.8,4,L,NA
2,1,Gull.Rock,Forest,4,ACRU,8,7,L,NA
2,1,Gull.Rock,Forest,4,ACRU,5.3,7,L,NA
2,1,Gull.Rock,Forest,4,ACRU,6.5,8,L,NA
2,1,Gull.Rock,Forest,4,PITA,14.2,9,L,NA
2,1,Gull.Rock,Forest,4,ACRU,6.3,9,L,NA
2,1,Gull.Rock,Forest,4,ACRU,5,8,L,NA
2,1,Gull.Rock,Forest,4,PITA,17,NA,D,NA
2,1,Gull.Rock,Forest,4,PITA,4.5,5,L,NA
2,1,Gull.Rock,Forest,4,PITA,22,12,L,NA
2,1,Gull.Rock,Forest,4,MYCE,3.5,4,L,NA
2,1,Gull.Rock,Forest,4,PITA,16.1,10,L,NA
