Basal.Site,Basal.Community,Basal.Plot.ID,Basal.Species,Basal.Diameter,Basal.Height,Basal.Live.Dead,Notes
GR,Forest,4,UNKN,3,5,D,
GR,Forest,4,UNKN,3.5,3.5,D,
GR,Forest,4,PITA,2.5,3.5,L ,
GR,Forest,4,PITA,10,10,L,
GR,Forest,4,PITA,9,9,D,
GR,Forest,4,MYCE,2.8,4,L,
GR,Forest,4,PITA,4,7,D,
GR,Forest,4,ACRU,2.5,3.5,D,
GR,Forest,4,ACRU,2.8,4.5,D,
GR,Forest,4,ACRU,2.5,4.5,D,
GR,Forest,4,ACRU,2.8,4.5,L,
GR,Forest,4,ACRU,2.8,3.5,L,
GR,Forest,4,PITA,12,12,L,
GR,Forest,4,PEPA,5.3,4.5,L,
GR,Forest,4,ACRU,5.2,9,L,
GR,Forest,4,PEPA,6,3.5,L,
GR,Forest,4,PITA,14.5,12,D,
GR,Forest,4,ACRU,4,5.5,D,
GR,Forest,4,ACRU,3,4,L,
GR,Forest,4,PITA,12.7,11,L,
GR,Forest,4,ACRU,3.8,4.5,D,
GR,Forest,4,PITA,8.6,7,D,
GR,Forest,4,UNKN 1,3,3.5,L,
GR,Forest,4,UNKN 1,5,5,L,
GR,Forest,4,PITA,12.8,12,D,
GR,Forest,4,ACRU,3,3,L,
GR,Forest,4,ACRU,4,4,L,
GR,Forest,4,PITA,7,8,L,
GR,Forest,4,PITA,8.5,9.5,D,
GR,Forest,4,PITA,9,12,D,
GR,Forest,6,PITA,1.7,3,L,
GR,Forest,6,PITA,1.6,3,L,
GR,Forest,6,PITA,1.9,3,L,
GR,Forest,6,PEPA,1.8,3,L,
GR,Forest,6,PEPA,2,3,L,
GR,Forest,6,PEPA,3.2,3,L,
GR,Forest,6,ACRU,5,6,D,
GR,Forest,6,PITA,1.8,3,L,
GR,Forest,6,PEPA,2.8,3,D,
GR,Forest,6,PEPA,3.8,3,L,
GR,Forest,6,PITA,2.4,3,L,
GR,Forest,6,ACRU,2.1,3,L,
GR,Forest,6,PITA,2,3,L,
GR,Forest,6,ACRU,2.7,2,L,
GR,Forest,6,PEPA,2.2,2,D,
GR,Forest,6,PITA,11.2,14,D,
GR,Forest,6,ACRU,2.3,4,D,
GR,Forest,6,PEPA,2.7,3,L,
GR,Forest,6,PITA,9,8,D,
GR,Forest,6,PEPA,2.7,4,D,
GR,Forest,6,PEPA,4,6,L,
GR,Forest,6,UNKN,3.5,3,D,
GR,Forest,6,UNKN 4,3.1,5,L,
GR,Forest,6,PITA,11,12,L,
GR,Forest,6,PEPA,3,3,L,
GR,Forest,6,PEPA,3.7,5,D,
GR,Forest,6,PITA,8,6,D,
GR,Forest,6,PEPA,3,3,L,
