Cover.Site,Cover.Community,Cover.Plot.ID,Cover.Sub.Plot.Number,Cover.Strata,Cover.Species,Cover.Percent,
GR,Forest,4,1,U,ANDR 1,10,
GR,Forest,4,1,O,PITA,15,
GR,Forest,4,1,U,CLJA,5, 
GR,Forest,6,2,U,CLJA,80,
GR,Forest,6,2,O,MYCE,10,
GR,Forest,6,2,U,TORA,5,
GR,Forest,6,2,U,OSRE,5,
GR,Forest,6,2,U,ANDR 1,10,
GR,Forest,6,2,U,ANGL,5,
GR,Forest,6,3,O,MYCE,35,
GR,Forest,6,3,U,ILGL,5,
GR,Forest,6,3,U,WOVA,10,
GR,Forest,6,3,U,TORA,10,
GR,Forest,6,3,U,ACRU,10,
GR,Forest,6,3,U,ANGL,15,
GR,Forest,6,4,U,CLJA,80,
GR,Forest,6,4,U,ANGL,10,
GR,Forest,6,4,O,PEPA,5,
GR,Forest,6,4,U,ACRU,10,
GR,Forest,6,4,O,PITA,30,
GR,Forest,6,5,U,WOVI,5,
GR,Forest,6,5,U,ACRU,5,
GR,Forest,6,5,O,PEPA,15,
GR,Forest,6,5,U,VACC,20,
GR,Forest,6,5,U,ILGL,5,
GR,Forest,6,5,U,ARGI,5,
GR,Forest,6,5,U,ANGL,15,
GR,Forest,6,5,U,SMIL,5,
GR,Transition,1,1,O,NA ,0,
GR,Transition,1,1,U,CLJA,70,
GR,Transition,1,1,U,TORA,15,
GR,Transition,1,2,U,CLJA,70,
GR,Transition,1,2,O,PITA,5,
GR,Transition,1,2,U,PHAU,10,
GR,Transition,1,2,U,WOVI,5,
GR,Transition,1,2,U,DEAD,15,
GR,Transition,1,3,O,PISE,30,
GR,Transition,1,3,U,MYCE,10,
GR,Transition,1,3,U,PHAU,15,
GR,Transition,1,3,U,TORA,15,
GR,Transition,1,3,U,CLJA,55,
GR,Transition,1,3,U,DEAD,10,
GR,Transition,1,4,O,DEAD,10,
GR,Transition,1,4,U,PEPA,10,
GR,Transition,1,4,U,TORA,25,
GR,Transition,1,4,U,CLJA,30,
GR,Transition,1,4,U,PHAU,10,
GR,Transition,1,4,U,WOVI,5,
GR,Transition,1,5,O,NA,0,
GR,Transition,1,5,U,CLJA,20,
GR,Transition,1,5,U,PHAU,5,
GR,Transition,1,5,U,BAHA,15,
GR,Transition,1,5,U,PEPA,20,
GR,Transition,1,5,U,TORA,30,
GR,Transition,1,5,U,WOVI,5,
GR,Transition,1,5,U,DEAD,20,
GR,Forest,11,1,U,OSRE,30,
GR,Forest,11,1,U,PEPA,25,
GR,Forest,11,1,U,MYCE,10,
GR,Forest,11,1,U,TORA,10,
GR,Forest,11,1,U,CLJA,30,
GR,Forest,11,1,U,ANGO,5,
GR,Forest,11,1,U,ACRU,5,
GR,Forest,11,1,U,DEAD,10,
GR,Forest,11,1,U,WATER,5,
GR,Forest,11,1,O,NONE,0,
GR,Forest,11,2,U,PEPA,20,
GR,Forest,11,2,U,ACRU,15,
GR,Forest,11,2,U,MYCE,15,
GR,Forest,11,2,U,DEAD,40,
GR,Forest,11,2,U,BARE,60,
GR,Forest,11,2,U,WATER,5,
GR,Forest,11,2,O,NONE,0,
GR,Forest,11,3,U,WOVI,5,
GR,Forest,11,3,U,CLJA,95,
GR,Forest,11,3,U,DEAD,5,
GR,Forest,11,3,O,NONE,0,
GR,Forest,11,4,U,VACC,5,
GR,Forest,11,4,U,TORA,10,
GR,Forest,11,4,U,ILGL,5,
GR,Forest,11,4,U,ACRU,5,
GR,Forest,11,4,U,PEPA,5,
GR,Forest,11,4,U,WOVI,10,
GR,Forest,11,4,U,CLJA,90,
GR,Forest,11,4,U,DEAD,5,
GR,Forest,11,4,U,MYCE,5,
GR,Forest,11,4,O,NONE,0,
GR,Forest,11,5,U,ILGL,5,
GR,Forest,11,5,U,TORA,5,
GR,Forest,11,5,U,WOVI,5,
GR,Forest,11,5,U,VACC,10,
GR,Forest,11,5,U,PEPA,5,
GR,Forest,11,5,U,ANGO,5,
GR,Forest,11,5,U,PLJA,5,
GR,Forest,11,5,U,MYCE,5,
GR,Forest,11,5,U,DEAD,10,
GR,Forest,11,5,U,BARE,45,
GR,Forest,11,5,O,NONE,0,
GR,Forest,2,1,U,WOVI,70,
GR,Forest,2,1,U,MYCE,5,
GR,Forest,2,1,U,CLJA,15,
GR,Forest,2,1,U,DEAD,10,
GR,Forest,2,1,U,BARE,10,
GR,Forest,2,1,U,WATER,10,
GR,Forest,2,1,O,NONE,0,
GR,Forest,2,2,U,WOVI,30,
GR,Forest,2,2,U,TORA,15,
GR,Forest,2,2,U,CLJA,35,
GR,Forest,2,2,U,MYCE,5,
GR,Forest,2,2,U,BARE,10,
GR,Forest,2,2,O,NONE,0,
GR,Forest,2,3,U,TORA,20,
GR,Forest,2,3,U,ANGO,5,
GR,Forest,2,3,U,WOVI,5,
GR,Forest,2,3,U,ACRU,5,
GR,Forest,2,3,U,PEPA,15,
GR,Forest,2,3,U,DEAD,15,
GR,Forest,2,3,U,BARE,15,
GR,Forest,2,3,O,NONE,0,
GR,Forest,2,3,U,CLJA,10,
GR,Forest,2,4,U,WOVI,20,
GR,Forest,2,4,U,OSRE,5,
GR,Forest,2,4,U,ACRU,10,
GR,Forest,2,4,U,DEAD,10,
GR,Forest,2,4,U,CLJA,75,
GR,Forest,2,4,U,MYCE,5,
GR,Forest,2,4,O,NONE,0,
GR,Forest,2,5,U,OSRE,20,
GR,Forest,2,5,U,WOVI,15,
GR,Forest,2,5,U,CLJA,25,
GR,Forest,2,5,U,MYCE,5,
GR,Forest,2,5,U,TORA,5,
GR,Forest,2,5,U,PEPA,5,
GR,Forest,2,5,U,BARE,25,
GR,Forest,2,5,U,WATER,5,
GR,Forest,2,5,U,DEAD,5,
GR,Forest,2,5,O,NONE,0,
GR,Forest,13,1,U,OSRE,10,
GR,Forest,13,1,U,WOVI,25,
GR,Forest,13,1,U,TORA,10,
GR,Forest,13,1,U,MYCE,5,
GR,Forest,13,1,U,CLJA,10,
GR,Forest,13,1,U,BARE,30,
GR,Forest,13,1,O,PITA,5,
GR,Forest,13,2,U,PEPA,15,
GR,Forest,13,2,U,OSRE,25,
GR,Forest,13,2,U,MYCE,10,
GR,Forest,13,2,U,DEAD,10,
GR,Forest,13,2,U,WOVI,5,
GR,Forest,13,2,U,ACRU,5,
GR,Forest,13,2,U,PITA,5,
GR,Forest,13,2,U,BARE,45,
GR,Forest,13,2,O,PITA,10,
GR,Forest,13,3,U,TORA,5,
GR,Forest,13,3,U,MICR,5,
GR,Forest,13,3,U,PITA,5,
GR,Forest,13,3,U,MYCE,5,
GR,Forest,13,3,U,PEPA,5,
GR,Forest,13,3,U,WATER,25,
GR,Forest,13,3,U,BARE,70,
GR,Forest,13,4,U,MYCE,5,
GR,Forest,13,4,U,WOVI,5,
GR,Forest,13,4,U,CLJA,60,
GR,Forest,13,4,U,DEAD,10,
GR,Forest,13,4,U,WATER,30,
GR,Forest,13,4,U,BARE,5,
