Cover.Site,Cover.Community,Cover.Plot.ID,Cover.Sub.Plot.Number,Cover.Strata,Cover.Species,Cover.Percent
LS,FOR,7,2,u,BAHA,20
LS,FOR,1,2,u,BAHA,10
LS,FOR,1,3,u,BAHA,15
LS,FOR,4,1,u,BAHA,5
LS,FOR,4,3,u,BAHA,15
LS,FOR,4,5,u,BAHA,5
LS,FOR,3,2,u,BAHA,5
LS,FOR,2,1,u,BAHA,5
LS,FOR,2,2,u,BAHA,45
LS,FOR,6,1,u,BAHA,10
LS,FOR,6,3,u,BAHA,35
LS,FOR,6,4,u,BAHA,30
LS,FOR,6,5,u,BAHA,25
LS,FOR,5,1,u,BAHA,5
LS,FOR,5,2,u,BAHA,1
LS,FOR,5,4,u,BAHA,5
LS,FOR,5,5,u,BAHA,20
LS,FOR,1,4,u,BARE,15
LS,FOR,1,5,u,BARE,5
LS,FOR,7,1,u,BARE,5
LS,FOR,7,2,u,BARE,39
LS,FOR,7,3,u,BARE,5
LS,FOR,7,4,u,BARE,15
LS,FOR,7,5,u,BARE,5
LS,FOR,1,1,u,BARE,64
LS,FOR,1,2,u,BARE,15
LS,FOR,1,3,u,BARE,5
LS,FOR,4,1,u,BARE,5
LS,FOR,4,2,u,BARE,5
LS,FOR,4,4,u,BARE,5
LS,FOR,3,1,u,BARE,35
LS,FOR,3,2,u,BARE,5
LS,FOR,3,3,u,BARE,5
LS,FOR,3,4,u,BARE,15
LS,FOR,3,5,u,BARE,20
LS,FOR,2,1,u,BARE,10
LS,FOR,2,3,u,BARE,10
LS,FOR,2,4,u,BARE,5
LS,FOR,2,5,u,BARE,5
LS,FOR,6,1,u,BARE,25
LS,FOR,6,3,u,BARE,10
LS,FOR,6,4,u,BARE,40
LS,FOR,6,5,u,BARE,15
LS,MAR,5,2,u,BARE,90
LS,MAR,5,3,u,BARE,10
LS,MAR,5,4,u,BARE,5
LS,MAR,5,5,u,BARE,35
LS,MAR,1,1,u,BARE,95
LS,MAR,1,2,u,BARE,90
LS,MAR,1,3,u,BARE,95
LS,MAR,1,4,u,BARE,95
LS,MAR,1,5,u,BARE,90
LS,MAR,6,1,u,BARE,90
LS,MAR,6,2,u,BARE,70
LS,MAR,6,3,u,BARE,80
LS,MAR,6,4,u,BARE,30
LS,MAR,6,5,u,BARE,65
LS,MAR,7,1,u,BARE,40
LS,MAR,7,2,u,BARE,30
LS,MAR,7,3,u,BARE,70
LS,MAR,7,4,u,BARE,90
LS,MAR,7,5,u,BARE,80
LS,MAR,4,1,u,BARE,60
LS,MAR,4,2,u,BARE,85
LS,MAR,4,3,u,BARE,90
LS,MAR,4,4,u,BARE,10
LS,MAR,4,5,u,BARE,40
LS,TRA,3,2,u,BARE,35
LS,TRA,3,3,u,BARE,55
LS,TRA,3,4,u,BARE,5
LS,TRA,3,5,u,BARE,10
LS,TRA,5,1,u,BARE,5
LS,TRA,5,2,u,BARE,10
LS,TRA,5,3,u,BARE,30
LS,TRA,1,1,u,BARE,10
LS,TRA,1,2,u,BARE,20
LS,TRA,1,3,u,BARE,45
LS,TRA,1,5,u,BARE,30
LS,TRA,7,3,u,BARE,50
LS,TRA,7,5,u,BARE,5
LS,TRA,4,1,u,BARE,30
LS,TRA,4,2,u,BARE,80
LS,TRA,4,3,u,BARE,80
LS,TRA,4,4,u,BARE,60
LS,TRA,4,5,u,BARE,20
LS,TRA,2,1,u,BARE,5
LS,TRA,2,2,u,BARE,5
LS,TRA,2,3,u,BARE,10
LS,TRA,2,4,u,BARE,60
LS,TRA,2,5,u,BARE,15
LS,TRA,6,1,u,BARE,55
LS,TRA,6,2,u,BARE,85
LS,TRA,6,3,u,BARE,90
LS,TRA,6,4,u,BARE,10
LS,TRA,6,5,u,BARE,10
LS,MAR,3,1,u,BARE,80
LS,MAR,3,2,u,BARE,40
LS,MAR,3,3,u,BARE,80
LS,MAR,3,4,u,BARE,20
